establishment_code,establishment_name,commune_code,commune_name,establishment_type,health_system_type,care_level,complexity_level,emergency_type,operating_status,latitude,longitude,coordinates_available
111806,SAPU San José de Chuchunco,13106,Estación Central,Servicio de Atención Primaria de Urgencia (SAPU),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAPU),Vigente en Operación Habitual,-33.473631,-70.706178,True
111809,SAPU Dra. Ana María Juricic,13119,Maipú,Servicio de Atención Primaria de Urgencia (SAPU),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAPU),Vigente en Operación Habitual,-33.513934,-70.79687,True
200117,SAPU Padre Vicente Irarrázabal,13106,Estación Central,Servicio de Atención Primaria de Urgencia (SAPU),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAPU),Vigente en Operación Habitual,-33.472719,-70.692094,True
200141,SAPU Dr. Iván Insunza,13119,Maipú,Servicio de Atención Primaria de Urgencia (SAPU),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAPU),Vigente en Operación Habitual,-33.48424,-70.771537,True
200189,SAR Enfermera Sofía Pincheira,13102,Cerrillos,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAR),Vigente en Operación Habitual,-33.501479,-70.733545,True
200346,Centro Comunitario de Salud Familiar Buzeta,13102,Cerrillos,Centro Comunitario de Salud Familiar (CECOSF),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.477976,-70.689536,True
200643,Centro Comunitario de Salud Familiar Los Bosquinos,13119,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.5498,-70.79348,True
200655,Centro Metropolitano de Atención Prehospitalaria,13101,Santiago,Centro de Regulación Médica de las Urgencias (SAMU),Público,Primer Nivel,Alta Complejidad,Otro,Vigente en Operación Habitual,-33.437666,-70.644218,True
200933,SAPU Ignacio Domeyko,13101,Santiago,Servicio de Atención Primaria de Urgencia (SAPU),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAPU),Vigente en Operación Habitual,-33.438921,-70.672467,True
201129,Centro Comunitario de Salud Familiar LUMEN,13119,Maipú,Centro Comunitario de Salud Familiar (CECOSF),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.493674,-70.736439,True
201506,Centro Odontológico Parque Almagro,13101,Santiago,Clínica Dental,Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.451597,-70.650133,True
201632,SAR Michelle Bachelet,13119,Maipú,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Público,Primer Nivel,Baja Complejidad,Urgencia Ambulatoria (SAR),Vigente en Operación Habitual,-33.52541998,-70.76765972,True
201674,CESFAM El Abrazo Dr. Salvador Allende Gossens,13119,Maipú,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.553127,-70.764203,True
202080,COSAM Lo Errázuriz,13119,Maipú,Centro Comunitario de Salud Mental (COSAM),Público,Segundo Nivel,Mediana Complejidad,No Aplica,Vigente en Operación Habitual,-33.475774,-70.734579,True
202195,Centro de Resolutividad de la Atención Primaria CREAP,13119,Maipú,Centro de Especialidades de Atención Primaria (CEAP),Público,Primer Nivel,Mediana Complejidad,No Aplica,Vigente en Operación Habitual,-33.510053,-70.74561,True
202233,CESFAM Erasmo Escala,13101,Santiago,Centro de Salud Familiar (CESFAM),Público,Primer Nivel,Baja Complejidad,No Aplica,Vigente en Operación Habitual,-33.4457182,-70.6732719,True
